PatchName	Forest	Urban	Ag	Tiger	Year	Forest2	Urban2	Ag2
Achanakmar	2099.6715	52.2468	1226.3985	0	2009	0.25548	-0.73529	-0.30797
Panna	644.8581	341.9199	3832.6563	0	2009	-0.19452	0.03168	0.50087
Kanha and Pench	17418.7798	723.0528	12028.3434	15	2009	4.99396	1.04081	3.04436
tipeshwar	33.6387	65.871	854.5851	0	2009	-0.38359	-0.69921	-0.42336
Palpur_Kuno	83.3138	430.452	505.8396	0	2009	-0.36822	0.26609	-0.53159
Panpatha and bandhavgarh	861.111	499.5594	1689.2172	4	2009	-0.12763	0.44907	-0.16433
navegaon	248.3712	92.8863	449.1279	0	2009	-0.31716	-0.62768	-0.54919
narsinghgarh	163.4269	104.7798	446.706	0	2009	-0.34344	-0.59619	-0.54994
nagzira	842.3176	123.9993	2181.6351	1	2009	-0.13345	-0.54531	-0.01151
dehgaon	562.4974	727.6059	2170.7937	0	2009	-0.22	1.05287	-0.01488
Satpura	694.4508	508.2543	4053.8349	0	2009	-0.17918	0.47209	0.56951
Melghat	421.4403	136.7532	4060.2825	0	2009	-0.26363	-0.51154	0.57151
umred	122.0094	38.0574	644.3631	0	2009	-0.35625	-0.77286	-0.4886
tadoba	2017.763	313.7148	3670.1451	10	2009	0.23014	-0.043	0.45044
sanjay dubri	398.6874	16.3593	269.8398	0	2009	-0.27067	-0.83031	-0.60483
Nauradehi	20.643	37.4508	579.9213	0	2009	-0.38761	-0.77446	-0.5086
Ratapani	144.7112	88.3899	546.5682	1	2009	-0.34923	-0.63959	-0.51895
Dewas	577.6749	82.4715	1067.4153	0	2009	-0.21531	-0.65526	-0.35731
Bor	86.3919	16.2864	583.4682	0	2009	-0.36727	-0.8305	-0.5075
Achanakmar	2672.3147	23.1444	682.4142	1	2010	0.43261	-0.81234	-0.47679
Panna	787.9077	754.0661	3277.4634	0	2010	-0.15028	1.12293	0.32857
Kanha and Pench	16588.2884	690.7572	12875.5299	9	2010	4.73707	0.9553	3.30728
tipeshwar	27.6534	56.4806	870.6646	0	2010	-0.38544	-0.72408	-0.41837
Palpur_Kuno	75.0627	127.2174	817.2711	0	2010	-0.37077	-0.53679	-0.43494
Panpatha and bandhavgarh	967.6539	506.4593	1575.283	2	2010	-0.09468	0.46734	-0.19969
navegaon	300.0666	88.2278	400.9998	0	2010	-0.30117	-0.64002	-0.56413
narsinghgarh	147.7512	7.2108	517.2831	0	2010	-0.34829	-0.85453	-0.52804
nagzira	977.2418	123.8024	2047.4004	0	2010	-0.09171	-0.54583	-0.05317
dehgaon	509.3244	535.955	2418.5796	0	2010	-0.23645	0.54543	0.06202
Satpura	2458.9908	210.3413	2583.8523	0	2010	0.36662	-0.3167	0.11331
Melghat	2033.9937	144.7761	2428.7171	1	2010	0.23516	-0.4903	0.06517
umred	120.6189	15.0939	666.6984	0	2010	-0.35668	-0.83366	-0.48167
tadoba	3439.2543	177.5872	2393.3646	5	2010	0.66983	-0.40342	0.0542
sanjay dubri	373.000567	20.894516	290.862999	0	2010	-0.27861	-0.8183	-0.59831
Nauradehi	46.4206	39.6582	552.6252	0	2010	-0.37963	-0.76862	-0.51707
Ratapani	237.3733	26.6548	515.4984	0	2010	-0.32057	-0.80305	-0.52859
Dewas	858.2913	18.678	850.4272	0	2010	-0.12851	-0.82417	-0.42465
Bor	53.8956	2.6703	627.5439	0	2010	-0.37732	-0.86655	-0.49382
Achanakmar	1692.513	167.7132	1518.0453	0	2011	0.12953	-0.42956	-0.21746
Panna	541.8548	492.21	3785.673	0	2011	-0.22639	0.42961	0.48629
Kanha and Pench	13239.9279	1798.488	15132.0909	2	2011	3.70136	3.88825	4.0076
tipeshwar	55.9476	54.859	844.0036	1	2011	-0.37669	-0.72837	-0.42664
Palpur_Kuno	57.876	252.6093	709.2009	0	2011	-0.37609	-0.20478	-0.46848
Panpatha and bandhavgarh	752.1282	573.9158	1722.4133	3	2011	-0.16134	0.64594	-0.15403
navegaon	100.4139	160.2088	530.3004	0	2011	-0.36293	-0.44943	-0.524
narsinghgarh	100.4139	107.2088	507.3004	0	2011	-0.36293	-0.58976	-0.53114
nagzira	554.5478	203.9141	2389.1584	0	2011	-0.22246	-0.33372	0.05289
dehgaon	428.8918	1336.518	1695.3069	0	2011	-0.26133	2.66509	-0.16244
Satpura	675.3145	805.219	3776.0503	1	2011	-0.1851	1.25836	0.4833
Melghat	400.7741	68.2561	4149.6576	0	2011	-0.27002	-0.6929	0.59925
umred	103.1418	42.0821	658.6446	0	2011	-0.36209	-0.7622	-0.48417
tadoba	1542.1542	358.3424	4100.8173	6	2011	0.08303	0.07517	0.58409
sanjay dubri	319.6719	28.4499	335.8629	0	2011	-0.29511	-0.79829	-0.58434
Nauradehi	99.0504	0	532.9575	1	2011	-0.36335	-0.87362	-0.52317
Ratapani	126.3585	80.6384	572.1171	0	2011	-0.35491	-0.66011	-0.51102
Dewas	300.1611	88.395	1338.5723	0	2011	-0.30115	-0.63958	-0.27315
Bor	56.0603	20.1187	610.8116	0	2011	-0.37665	-0.82035	-0.49901
Achanakmar	1861.8771	79.4776	1437.0364	0	2013	0.18192	-0.66319	-0.2426
Panna	412.0397	500.8814	3905.9505	1	2013	-0.26654	0.45257	0.52362
Kanha and Pench	18013.2967	1798.3312	10362.8439	3	2013	5.17785	3.88784	2.52748
tipeshwar	44.5432	134.8358	774.8046	0	2013	-0.38021	-0.51661	-0.44812
Palpur_Kuno	99.4462	364.2426	555.4576	0	2013	-0.36323	0.09079	-0.51619
Panpatha and bandhavgarh	733.1316	493.0733	1840.1113	6	2013	-0.16722	0.43189	-0.1175
navegaon	112.2994	98.1504	580.1276	0	2013	-0.35925	-0.61375	-0.50853
narsinghgarh	109.4367	192.3552	413.0452	0	2013	-0.36014	-0.36432	-0.56039
nagzira	715.6033	199.4819	2232.2394	0	2013	-0.17264	-0.34545	0.00419
dehgaon	301.4529	883.1655	2276.177	0	2013	-0.30075	1.46474	0.01783
Satpura	873.5281	1383.627	2999.7263	0	2013	-0.12379	2.78982	0.24238
Melghat	330.3754	276.867	4010.7724	4	2013	-0.2918	-0.14056	0.55615
umred	100.0288	66.8754	637.1104	0	2013	-0.36305	-0.69655	-0.49085
tadoba	943.1496	539.3097	4518.8679	7	2013	-0.10226	0.55431	0.71383
sanjay dubri	265.5475	98.7381	320.221	0	2013	-0.31185	-0.61219	-0.58919
Nauradehi	88.3728	9.2187	538.727	0	2013	-0.36666	-0.84921	-0.52138
Ratapani	254.916	253.4751	270.6619	0	2013	-0.31514	-0.20249	-0.60458
Dewas	508.3893	137.6657	1081.2904	0	2013	-0.23674	-0.50912	-0.353
